"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url"
"OYO Studios @ 28","Quartiere di Westminster, Londra Mostra sulla mappa","£24","1 notte, 1 adulto","Camera Singola Standard","1 letto singolo","6,5","Punteggio medio","111 recensioni","https://www.booking.com/hotel/gb/oyo-studios-28.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=654407301_267797147_1_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=12&highlighted_blocks=654407301_267797147_1_0_0&hpos=11&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=654407301_267797147_1_0_0__2373&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_early21_customer_label=1#hotelTmpl"
"OYO London 24 Sussex","Quartiere di Westminster, Londra Mostra sulla mappa","£21","1 notte, 1 adulto","Camera Singola Standard con Bagno in Comune","1 letto singolo","6,3","Punteggio medio","616 recensioni","https://www.booking.com/hotel/gb/winrose.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=17722007_171280985_1_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=13&highlighted_blocks=17722007_171280985_1_0_0&hpos=12&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=17722007_171280985_1_0_0__2088&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_early21_customer_label=1#hotelTmpl"
"Chester Hotel","Quartiere di Westminster, Londra Mostra sulla mappa","£24","1 notte, 1 adulto","Camera Singola con Bagno Privato","1 letto singolo","5,6","Punteggio medio","1.908 recensioni","https://www.booking.com/hotel/gb/chester.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=3767106_263877342_1_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=14&highlighted_blocks=3767106_263877342_1_0_0&hpos=13&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=3767106_263877342_1_0_0__2400&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_early21_customer_label=1#hotelTmpl"
"Hotel Olympia","Kensington e Chelsea, Londra Mostra sulla mappa","£24","1 notte, 1 adulto","Camera Matrimoniale","1 letto matrimoniale alla francese","5,5","Punteggio medio","1.136 recensioni","https://www.booking.com/hotel/gb/hotelolympialondon.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=101301_285223433_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=15&highlighted_blocks=101301_285223433_0_0_0&hpos=14&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=101301_285223433_0_0_0__2400&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"St George Hotel","Quartiere di Westminster, Londra Mostra sulla mappa","£24","1 notte, 1 adulto","Camera Matrimoniale Standard","1 letto matrimoniale alla francese","6,1","Punteggio medio","2.180 recensioni","https://www.booking.com/hotel/gb/st-george.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=24037801_103362062_0_1_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=16&highlighted_blocks=24037801_103362062_0_1_0&hpos=15&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=24037801_103362062_0_1_0__2400&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Earls Court Garden Hotel","Kensington e Chelsea, Londra Mostra sulla mappa","£24","1 notte, 1 adulto","Camera Matrimoniale Comfort","1 letto matrimoniale alla francese","5,3","Punteggio medio","1.164 recensioni","https://www.booking.com/hotel/gb/earl-s-court-gardens.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=23911107_285223677_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=17&highlighted_blocks=23911107_285223677_0_0_0&hpos=16&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=23911107_285223677_0_0_0__2400&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"SoHostel","Quartiere di Westminster, Londra Mostra sulla mappa","£25","1 notte, 1 adulto","Camera Deluxe Doppia con Letti Singoli","2 letti a castello","8,3","Ottimo","4.519 recensioni","https://www.booking.com/hotel/gb/sohostel.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=117874302_276181891_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=18&highlighted_blocks=117874302_276181891_0_0_0&hpos=17&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=117874302_276181891_0_0_0__2500&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Sheriff Hotel","Quartiere di Westminster, Londra Mostra sulla mappa","£25","1 notte, 1 adulto","City Singola con Bagno Interno","1 letto singolo","6,8","Punteggio medio","1.034 recensioni","https://www.booking.com/hotel/gb/sheriff-inn-london.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=43447101_91928633_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=19&highlighted_blocks=43447101_91928633_0_0_0&hpos=18&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=43447101_91928633_0_0_0__2500&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Victor Hotel - London Victoria","Quartiere di Westminster, Londra Mostra sulla mappa","£23","1 notte, 1 adulto","Camera Singola","1 letto singolo","7,7","Buono","1.208 recensioni","https://www.booking.com/hotel/gb/victorhotel.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=91772_123732106_0_2_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=20&highlighted_blocks=91772_123732106_0_2_0&hpos=19&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=91772_123732106_0_2_0__2253&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_early21_customer_label=1#hotelTmpl"
"Daisy Hotel","Camden, Londra Mostra sulla mappa","£26","1 notte, 1 adulto","Camera Quadrupla","2 letti matrimoniali alla francese","6,4","Punteggio medio","310 recensioni","https://www.booking.com/hotel/gb/budget-guest-house.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=24223906_88652224_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=21&highlighted_blocks=24223906_88652224_0_0_0&hpos=20&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=24223906_88652224_0_0_0__2610&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"London hotel","Quartiere di Westminster, Londra Mostra sulla mappa","£25","1 notte, 1 adulto","Camera Singola","1 letto singolo","6,7","Punteggio medio","39 recensioni","https://www.booking.com/hotel/gb/london-greater-london.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=644926202_275777614_1_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=22&highlighted_blocks=644926202_275777614_1_0_0&hpos=21&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=644926202_275777614_1_0_0__2463&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Hyde Park Court Hotel","Quartiere di Westminster, Londra Mostra sulla mappa","£28","1 notte, 1 adulto","Camera Matrimoniale","1 letto matrimoniale alla francese","5,9","Punteggio medio","721 recensioni","https://www.booking.com/hotel/gb/tymelynhotel.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=11951001_88651953_0_1_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=23&highlighted_blocks=11951001_88651953_0_1_0&hpos=22&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=11951001_88651953_0_1_0__2799&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Park Avenue Inn Craven London Hyde Park","Quartiere di Westminster, Londra Mostra sulla mappa","£29","1 notte, 1 adulto","Camera Singola","1 letto singolo","7,5","Buono","104 recensioni","https://www.booking.com/hotel/gb/crown-hyde-park.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=27464702_270633920_0_1_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=24&highlighted_blocks=27464702_270633920_0_1_0&hpos=23&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=27464702_270633920_0_1_0__2879&srepoch=1611691506&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_early21_customer_label=1#hotelTmpl"
"easyHotel Paddington","Quartiere di Westminster, Londra Mostra sulla mappa","£29","1 notte, 1 adulto","Camera Matrimoniale Piccola senza Finestre","1 letto matrimoniale alla francese","6,3","Punteggio medio","1.367 recensioni","https://www.booking.com/hotel/gb/boulevardhotel.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=3042309_101096003_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=25&highlighted_blocks=3042309_101096003_0_0_0&hpos=24&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=3042309_101096003_0_0_0__2899&srepoch=1611691507&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"OYO Boston Court Hotel","Quartiere di Westminster, Londra Mostra sulla mappa","£26","1 notte, 1 adulto","Camera Singola Standard con Bagno in Comune","1 letto singolo","6,4","Punteggio medio","685 recensioni","https://www.booking.com/hotel/gb/bostoncourthotel.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvLrwYAGwAIB0gIkNjQwNGY3YWMtYTBhZi00MTg3LThmYTAtNjJlYzAyOWRkN2Zm2AIE4AIB&sid=86517deaef650aee072c519aab9bf911&all_sr_blocks=11949907_256728186_1_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=26&highlighted_blocks=11949907_256728186_1_0_0&hpos=25&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=11949907_256728186_1_0_0__2558&srepoch=1611691507&srpvid=b70c8d39b45c00eb&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_early21_customer_label=1#hotelTmpl"
"Mowbray Court Hotel","Kensington e Chelsea, Londra Mostra sulla mappa","£26","1 notte, 1 adulto","Camera Singola","1 letto singolo","7,7","Buono","5.157 recensioni","https://www.booking.com/hotel/gb/the-mowbray-court.it.html?label=gen173bo-1DCAQoggJCDXNlYXJjaF9sb25kb25IFFgDaFCIAQGYARS4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AvTrwYAGwAIB0gIkOTYxYjg2ZTctZWEzNC00ZWNlLWI2ZWMtZmVhNDMwZDI4ZGIw2AIE4AIB&sid=d51be70587d189fc7a5291686a87fafe&all_sr_blocks=183707101_277600554_0_0_0&checkin=2021-01-26&checkout=2021-01-27&dest_id=2280&dest_type=district&group_adults=1&group_children=0&hapos=27&highlighted_blocks=183707101_277600554_0_0_0&hpos=1&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=price&sr_pri_blocks=183707101_277600554_0_0_0__2570&srepoch=1611691508&srpvid=e4ec8d3a8c950080&ucfs=1&from=searchresults
;highlight_room=;has_campaign_deals_early21_customer_label=1#hotelTmpl"
